"","time","uid","geoid","sim_num","comp","incidI","hosp_curr","icu_curr","vent_curr","incidH","incidICU","incidVent","incidD","date_inds","sim_num_good","geo_ind"
"1",2020-02-29,"6037-8","6037","8","diffI",1,0,0,0,0,0,0,0,1,1,19
"2",2020-03-03,"6037-8","6037","8","diffI",1,0,0,0,0,0,0,0,4,1,19
"3",2020-03-06,"6037-8","6037","8","diffI",1,0,0,0,0,0,0,0,7,1,19
"4",2020-03-06,"6095-8","6095","8","diffI",1,0,0,0,0,0,0,0,7,1,48
"5",2020-03-07,"6037-8","6037","8","diffI",2,0,0,0,0,0,0,0,8,1,19
"6",2020-03-07,"6065-8","6065","8","diffI",1,0,0,0,0,0,0,0,8,1,33
"7",2020-03-08,"6095-8","6095","8","diffI",1,0,0,0,0,0,0,0,9,1,48
"8",2020-03-10,"6037-8","6037","8","diffI",2,0,0,0,0,0,0,0,11,1,19
"9",2020-03-10,"6059-8","6059","8","diffI",1,0,0,0,0,0,0,0,11,1,30
"10",2020-03-11,"6001-8","6001","8","diffI",1,0,0,0,0,0,0,0,12,1,1
"11",2020-03-11,"6037-8","6037","8","diffI",4,0,0,0,0,0,0,0,12,1,19
"12",2020-03-12,"6001-8","6001","8","diffI",1,0,0,0,0,0,0,0,13,1,1
"13",2020-03-12,"6037-8","6037","8","diffI",2,0,0,0,0,0,0,0,13,1,19
"14",2020-03-12,"6059-8","6059","8","diffI",2,0,0,0,0,0,0,0,13,1,30
"15",2020-03-13,"6037-8","6037","8","diffI",3,0,0,0,0,0,0,0,14,1,19
"16",2020-03-13,"6065-8","6065","8","diffI",1,0,0,0,0,0,0,0,14,1,33
"17",2020-03-13,"6081-8","6081","8","diffI",1,0,0,0,0,0,0,0,14,1,41
"18",2020-03-13,"6103-8","6103","8","diffI",1,0,0,0,0,0,0,0,14,1,52
"19",2020-03-14,"6059-8","6059","8","diffI",1,0,0,0,0,0,0,0,15,1,30
"20",2020-03-14,"6071-8","6071","8","diffI",2,0,0,0,0,0,0,0,15,1,36
"21",2020-03-14,"6081-8","6081","8","diffI",1,0,0,0,0,0,0,0,15,1,41
"22",2020-03-15,"6013-8","6013","8","diffI",2,0,0,0,0,0,0,0,16,1,7
"23",2020-03-15,"6037-8","6037","8","diffI",3,0,0,0,0,0,0,0,16,1,19
"24",2020-03-15,"6059-8","6059","8","diffI",3,0,0,0,0,0,0,0,16,1,30
"25",2020-03-15,"6065-8","6065","8","diffI",2,0,0,0,0,0,0,0,16,1,33
"26",2020-03-15,"6073-8","6073","8","diffI",1,0,0,0,0,0,0,0,16,1,37
"27",2020-03-15,"6081-8","6081","8","diffI",1,0,0,0,0,0,0,0,16,1,41
"28",2020-03-16,"6001-8","6001","8",NA,0,1,0,0,1,0,0,0,17,1,1
"29",2020-03-16,"6013-8","6013","8","diffI",1,0,0,0,0,0,0,0,17,1,7
"30",2020-03-16,"6037-8","6037","8","diffI",5,1,0,0,1,0,0,0,17,1,19
"31",2020-03-16,"6059-8","6059","8","diffI",3,0,0,0,0,0,0,0,17,1,30
"32",2020-03-16,"6065-8","6065","8","diffI",2,0,0,0,0,0,0,0,17,1,33
"33",2020-03-17,"6001-8","6001","8",NA,0,2,0,0,1,0,0,0,18,1,1
"34",2020-03-17,"6037-8","6037","8","diffI",6,1,0,0,0,0,0,0,18,1,19
"35",2020-03-17,"6059-8","6059","8","diffI",1,0,0,0,0,0,0,0,18,1,30
"36",2020-03-17,"6065-8","6065","8","diffI",2,0,0,0,0,0,0,0,18,1,33
"37",2020-03-17,"6085-8","6085","8","diffI",2,0,0,0,0,0,0,0,18,1,43
"38",2020-03-18,"6037-8","6037","8","diffI",10,2,0,0,1,0,0,0,19,1,19
"39",2020-03-18,"6059-8","6059","8","diffI",1,0,0,0,0,0,0,0,19,1,30
"40",2020-03-18,"6065-8","6065","8","diffI",3,0,0,0,0,0,0,0,19,1,33
"41",2020-03-18,"6071-8","6071","8","diffI",1,0,0,0,0,0,0,0,19,1,36
